company,data_point,scope,report_field,page,source
Hindalco,Other Current Liabilities_Revenue received in advance,Standalone,Advance from Customers,343,pipeline
Hindalco,Other Current Liabilities_Revenue received in advance,Consolidated,Advance from Customers,313,pipeline
Hindalco,Other Current Liabilities_Accrued Salary Payable,Standalone,,,Not disclosed
Hindalco,Other Current Liabilities_Accrued Salary Payable,Consolidated,,,Not disclosed
Hindalco,Other Current Liabilities_Employees Stock Options Outstanding,Standalone,,,Not disclosed
Hindalco,Other Current Liabilities_Employees Stock Options Outstanding,Consolidated,,,Not disclosed
Hindalco,Short Term Loans And Advances_Other Deposit Assets,Standalone,Deposit with Others,402,pipeline
Hindalco,Short Term Loans And Advances_Other Deposit Assets,Consolidated,Deposit with Others,330,pipeline
Hindalco,Short Term Loans And Advances_Advances to related parties,Standalone,,,Not disclosed
Hindalco,Short Term Loans And Advances_Advances to related parties,Consolidated,"Loan to Related Parties - (a), (b), (c)",278,pipeline
Hindalco,Short Term Loans And Advances_Allowance for bad and doubtful loans,Standalone,,,Not disclosed
Hindalco,Short Term Loans And Advances_Allowance for bad and doubtful loans,Consolidated,,,Not disclosed
Hindalco,Other Current Assets_Advances to related parties,Standalone,,,Not disclosed
Hindalco,Other Current Assets_Advances to related parties,Consolidated,,,Not disclosed
Hindalco,Other Current Assets_Advances given suppliers,Standalone,,,Not disclosed
Hindalco,Other Current Assets_Advances given suppliers,Consolidated,,,Not disclosed
Hindalco,Other Current Assets_Export incentives receivables,Standalone,,,Not disclosed
Hindalco,Other Current Assets_Export incentives receivables,Consolidated,,,Not disclosed
Hindalco,Other Current Assets_Less : Doubtful Advances,Standalone,,,Not disclosed
Hindalco,Other Current Assets_Less : Doubtful Advances,Consolidated,Less : Loss allowances,284,pipeline
Hindalco,Authorised Equity Share Capital,Standalone,Note 10 - Authorised Equity Shares of Re 1 each,369,page-verified
Hindalco,Authorised Equity Share Capital,Consolidated,Authorised Equity Shares,292,page-verified
Hindalco,Equity Issued,Standalone,Issued,369,pipeline
Hindalco,Equity Issued,Consolidated,Issued,292,pipeline
Hindalco,Equity Subscribed fully paid,Standalone,Subscribed and Paid-up Equity Shares of ` 1/- each fully paid-up,369,pipeline
Hindalco,Equity Subscribed fully paid,Consolidated,Subscribed and Paid-up Equity Shares of ` 1/- each fully paid-up,292,pipeline
Hindalco,Equity Forfeited,Standalone,Add: Forfeited Shares (Amount originally Paid up),371,pipeline
Hindalco,Equity Forfeited,Consolidated,Add: Forfeited Shares (Amount originally Paid-up),292,pipeline
Hindalco,Equity Paid Up,Standalone,Standalone BS - Equity Share Capital (Note 10),343,page-verified
Hindalco,Equity Paid Up,Consolidated,"Balance as at March 31, 2025",292,pipeline
Hindalco,Face Value of Share (in Rs),Standalone,Equity Shares of ` 1/- each,369,pipeline
Hindalco,Face Value of Share (in Rs),Consolidated,Face value per Equity Share (`),309,pipeline
Hindalco,No Of Authorised Equity Shares,Standalone,Authorised Equity Shares of ` 1/- each,369,pipeline
